Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
Ávila;2000;7.665;Toneladas equivalentes de petróleo;12;meses
Burgos;2000;19.047;Toneladas equivalentes de petróleo;12;meses
León;2000;55.324;Toneladas equivalentes de petróleo;12;meses
Palencia;2000;16.587;Toneladas equivalentes de petróleo;12;meses
Salamanca;2000;362.551;Toneladas equivalentes de petróleo;12;meses
Segovia;2000;625;Toneladas equivalentes de petróleo;12;meses
Soria;2000;6.847;Toneladas equivalentes de petróleo;12;meses
Valladolid;2000;16.951;Toneladas equivalentes de petróleo;12;meses
Zamora;2000;170.716;Toneladas equivalentes de petróleo;12;meses
Ávila;2001;13.227;Toneladas equivalentes de petróleo;12;meses
Burgos;2001;20.540;Toneladas equivalentes de petróleo;12;meses
León;2001;82.650;Toneladas equivalentes de petróleo;12;meses
Palencia;2001;26.942;Toneladas equivalentes de petróleo;12;meses
Salamanca;2001;685.672;Toneladas equivalentes de petróleo;12;meses
Segovia;2001;895;Toneladas equivalentes de petróleo;12;meses
Soria;2001;8.410;Toneladas equivalentes de petróleo;12;meses
Valladolid;2001;5.553;Toneladas equivalentes de petróleo;12;meses
Zamora;2001;248.588;Toneladas equivalentes de petróleo;12;meses
Ávila;2002;8.764;Toneladas equivalentes de petróleo;12;meses
Burgos;2002;22.334;Toneladas equivalentes de petróleo;12;meses
León;2002;35.565;Toneladas equivalentes de petróleo;12;meses
Palencia;2002;14.233;Toneladas equivalentes de petróleo;12;meses
Salamanca;2002;307.606;Toneladas equivalentes de petróleo;12;meses
Segovia;2002;6.946;Toneladas equivalentes de petróleo;12;meses
Soria;2002;6.266;Toneladas equivalentes de petróleo;12;meses
Valladolid;2002;4.097;Toneladas equivalentes de petróleo;12;meses
Zamora;2002;112.140;Toneladas equivalentes de petróleo;12;meses
Ávila;2003;19.659;Toneladas equivalentes de petróleo;12;meses
Burgos;2003;27.513;Toneladas equivalentes de petróleo;12;meses
León;2003;69.045;Toneladas equivalentes de petróleo;12;meses
Palencia;2003;21.979;Toneladas equivalentes de petróleo;12;meses
Salamanca;2003;639.855;Toneladas equivalentes de petróleo;12;meses
Segovia;2003;11.729;Toneladas equivalentes de petróleo;12;meses
Soria;2003;7.617;Toneladas equivalentes de petróleo;12;meses
Valladolid;2003;7.534;Toneladas equivalentes de petróleo;12;meses
Zamora;2003;288.886;Toneladas equivalentes de petróleo;12;meses
Ávila;2004;21.152;Toneladas equivalentes de petróleo;12;meses
Burgos;2004;30.784;Toneladas equivalentes de petróleo;12;meses
León;2004;55.919;Toneladas equivalentes de petróleo;12;meses
Palencia;2004;21.146;Toneladas equivalentes de petróleo;12;meses
Salamanca;2004;451.798;Toneladas equivalentes de petróleo;12;meses
Segovia;2004;1.669;Toneladas equivalentes de petróleo;12;meses
Soria;2004;8.179;Toneladas equivalentes de petróleo;12;meses
Valladolid;2004;6.629;Toneladas equivalentes de petróleo;12;meses
Zamora;2004;179.134;Toneladas equivalentes de petróleo;12;meses
Ávila;2005;22.139;Toneladas equivalentes de petróleo;12;meses
Burgos;2005;59.104;Toneladas equivalentes de petróleo;12;meses
León;2005;58.033;Toneladas equivalentes de petróleo;12;meses
Palencia;2005;34.237;Toneladas equivalentes de petróleo;12;meses
Salamanca;2005;197.821;Toneladas equivalentes de petróleo;12;meses
Segovia;2005;3.325;Toneladas equivalentes de petróleo;12;meses
Soria;2005;22.116;Toneladas equivalentes de petróleo;12;meses
Valladolid;2005;3.456;Toneladas equivalentes de petróleo;12;meses
Zamora;2005;97.798;Toneladas equivalentes de petróleo;12;meses
Ávila;2006;26.028;Toneladas equivalentes de petróleo;12;meses
Burgos;2006;68.955;Toneladas equivalentes de petróleo;12;meses
León;2006;66.204;Toneladas equivalentes de petróleo;12;meses
Palencia;2006;37.509;Toneladas equivalentes de petróleo;12;meses
Salamanca;2006;308.911;Toneladas equivalentes de petróleo;12;meses
Segovia;2006;3.317;Toneladas equivalentes de petróleo;12;meses
Soria;2006;34.663;Toneladas equivalentes de petróleo;12;meses
Valladolid;2006;4.979;Toneladas equivalentes de petróleo;12;meses
Zamora;2006;190.872;Toneladas equivalentes de petróleo;12;meses
Ávila;2007;24.089;Toneladas equivalentes de petróleo;12;meses
Burgos;2007;91.474;Toneladas equivalentes de petróleo;12;meses
León;2007;72.777;Toneladas equivalentes de petróleo;12;meses
Palencia;2007;38.346;Toneladas equivalentes de petróleo;12;meses
Salamanca;2007;469.506;Toneladas equivalentes de petróleo;12;meses
Segovia;2007;7.157;Toneladas equivalentes de petróleo;12;meses
Soria;2007;46.775;Toneladas equivalentes de petróleo;12;meses
Valladolid;2007;5.535;Toneladas equivalentes de petróleo;12;meses
Zamora;2007;216.745;Toneladas equivalentes de petróleo;12;meses
Ávila;2008;6.600;Toneladas equivalentes de petróleo;12;meses
Burgos;2008;5.960;Toneladas equivalentes de petróleo;12;meses
León;2008;48.514;Toneladas equivalentes de petróleo;12;meses
Palencia;2008;10.265;Toneladas equivalentes de petróleo;12;meses
Salamanca;2008;282.778;Toneladas equivalentes de petróleo;12;meses
Segovia;2008;644;Toneladas equivalentes de petróleo;12;meses
Soria;2008;1.128;Toneladas equivalentes de petróleo;12;meses
Valladolid;2008;580;Toneladas equivalentes de petróleo;12;meses
Zamora;2008;101.279;Toneladas equivalentes de petróleo;12;meses
Ávila;2009;3.968;Toneladas equivalentes de petróleo;12;meses
Burgos;2009;7.433;Toneladas equivalentes de petróleo;12;meses
León;2009;77.042;Toneladas equivalentes de petróleo;12;meses
Palencia;2009;11.807;Toneladas equivalentes de petróleo;12;meses
Salamanca;2009;267.001;Toneladas equivalentes de petróleo;12;meses
Segovia;2009;639;Toneladas equivalentes de petróleo;12;meses
Soria;2009;1.584;Toneladas equivalentes de petróleo;12;meses
Valladolid;2009;572;Toneladas equivalentes de petróleo;12;meses
Zamora;2009;125.492;Toneladas equivalentes de petróleo;12;meses
Ávila;2010;7.522;Toneladas equivalentes de petróleo;12;meses
Burgos;2010;9.877;Toneladas equivalentes de petróleo;12;meses
León;2010;107.634;Toneladas equivalentes de petróleo;12;meses
Palencia;2010;18.998;Toneladas equivalentes de petróleo;12;meses
Salamanca;2010;588.142;Toneladas equivalentes de petróleo;12;meses
Segovia;2010;859;Toneladas equivalentes de petróleo;12;meses
Soria;2010;1.576;Toneladas equivalentes de petróleo;12;meses
Valladolid;2010;818;Toneladas equivalentes de petróleo;12;meses
Zamora;2010;276.253;Toneladas equivalentes de petróleo;12;meses
Ávila;2011;10.981;Toneladas equivalentes de petróleo;12;meses
Burgos;2011;6.328;Toneladas equivalentes de petróleo;12;meses
León;2011;24.312;Toneladas equivalentes de petróleo;12;meses
Palencia;2011;12.065;Toneladas equivalentes de petróleo;12;meses
Salamanca;2011;461.655;Toneladas equivalentes de petróleo;12;meses
Segovia;2011;604;Toneladas equivalentes de petróleo;12;meses
Soria;2011;1.794;Toneladas equivalentes de petróleo;12;meses
Valladolid;2011;590;Toneladas equivalentes de petróleo;12;meses
Zamora;2011;184.070;Toneladas equivalentes de petróleo;12;meses
Ávila;2012;5.107;Toneladas equivalentes de petróleo;12;meses
Burgos;2012;5.866;Toneladas equivalentes de petróleo;12;meses
León;2012;40.424;Toneladas equivalentes de petróleo;12;meses
Palencia;2012;7.937;Toneladas equivalentes de petróleo;12;meses
Salamanca;2012;330.007;Toneladas equivalentes de petróleo;12;meses
Segovia;2012;356;Toneladas equivalentes de petróleo;12;meses
Soria;2012;970;Toneladas equivalentes de petróleo;12;meses
Valladolid;2012;279;Toneladas equivalentes de petróleo;12;meses
Zamora;2012;72.872;Toneladas equivalentes de petróleo;12;meses
Ávila;2013;7.152;Toneladas equivalentes de petróleo;12;meses
Burgos;2013;6.849;Toneladas equivalentes de petróleo;12;meses
León;2013;88.917;Toneladas equivalentes de petróleo;12;meses
Palencia;2013;14.738;Toneladas equivalentes de petróleo;12;meses
Salamanca;2013;346.350;Toneladas equivalentes de petróleo;12;meses
Segovia;2013;930;Toneladas equivalentes de petróleo;12;meses
Soria;2013;2.200;Toneladas equivalentes de petróleo;12;meses
Valladolid;2013;714;Toneladas equivalentes de petróleo;12;meses
Zamora;2013;187.382;Toneladas equivalentes de petróleo;12;meses
Ávila;2014;10.077;Toneladas equivalentes de petróleo;12;meses
Burgos;2014;7.768;Toneladas equivalentes de petróleo;12;meses
León;2014;94.759;Toneladas equivalentes de petróleo;12;meses
Palencia;2014;18.567;Toneladas equivalentes de petróleo;12;meses
Salamanca;2014;528.961;Toneladas equivalentes de petróleo;12;meses
Segovia;2014;995;Toneladas equivalentes de petróleo;12;meses
Soria;2014;2.480;Toneladas equivalentes de petróleo;12;meses
Valladolid;2014;740;Toneladas equivalentes de petróleo;12;meses
Zamora;2014;247.806;Toneladas equivalentes de petróleo;12;meses
