Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
Ávila;2011;8.815;Toneladas equivalentes de petróleo;12;meses
Burgos;2011;3.058;Toneladas equivalentes de petróleo;12;meses
León;2011;6.285;Toneladas equivalentes de petróleo;12;meses
Palencia;2011;3.249;Toneladas equivalentes de petróleo;12;meses
Salamanca;2011;8.360;Toneladas equivalentes de petróleo;12;meses
Segovia;2011;3.774;Toneladas equivalentes de petróleo;12;meses
Soria;2011;2.774;Toneladas equivalentes de petróleo;12;meses
Valladolid;2011;15.664;Toneladas equivalentes de petróleo;12;meses
Zamora;2011;10.890;Toneladas equivalentes de petróleo;12;meses
Ávila;2012;10.241;Toneladas equivalentes de petróleo;12;meses
Burgos;2012;3.473;Toneladas equivalentes de petróleo;12;meses
León;2012;6.758;Toneladas equivalentes de petróleo;12;meses
Palencia;2012;3.707;Toneladas equivalentes de petróleo;12;meses
Salamanca;2012;8.998;Toneladas equivalentes de petróleo;12;meses
Segovia;2012;3.783;Toneladas equivalentes de petróleo;12;meses
Soria;2012;3.000;Toneladas equivalentes de petróleo;12;meses
Valladolid;2012;18.379;Toneladas equivalentes de petróleo;12;meses
Zamora;2012;12.439;Toneladas equivalentes de petróleo;12;meses
Ávila;2013;10.160;Toneladas equivalentes de petróleo;12;meses
Burgos;2013;3.795;Toneladas equivalentes de petróleo;12;meses
León;2013;6.664;Toneladas equivalentes de petróleo;12;meses
Palencia;2013;3.989;Toneladas equivalentes de petróleo;12;meses
Salamanca;2013;8.999;Toneladas equivalentes de petróleo;12;meses
Segovia;2013;3.709;Toneladas equivalentes de petróleo;12;meses
Soria;2013;2.785;Toneladas equivalentes de petróleo;12;meses
Valladolid;2013;20.448;Toneladas equivalentes de petróleo;12;meses
Zamora;2013;12.265;Toneladas equivalentes de petróleo;12;meses
Ávila;2014;10.032;Toneladas equivalentes de petróleo;12;meses
Burgos;2014;3.917;Toneladas equivalentes de petróleo;12;meses
León;2014;6.551;Toneladas equivalentes de petróleo;12;meses
Palencia;2014;4.034;Toneladas equivalentes de petróleo;12;meses
Salamanca;2014;8.708;Toneladas equivalentes de petróleo;12;meses
Segovia;2014;3.720;Toneladas equivalentes de petróleo;12;meses
Soria;2014;2.901;Toneladas equivalentes de petróleo;12;meses
Valladolid;2014;20.625;Toneladas equivalentes de petróleo;12;meses
Zamora;2014;12.170;Toneladas equivalentes de petróleo;12;meses
