Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
León;2000;2.696.889;Toneladas equivalentes de petróleo;12;meses
Palencia;2000;248.492;Toneladas equivalentes de petróleo;12;meses
León;2001;2.389.104;Toneladas equivalentes de petróleo;12;meses
Palencia;2001;237.661;Toneladas equivalentes de petróleo;12;meses
León;2002;2.207.886;Toneladas equivalentes de petróleo;12;meses
Palencia;2002;212.658;Toneladas equivalentes de petróleo;12;meses
León;2003;2.198.313;Toneladas equivalentes de petróleo;12;meses
Palencia;2003;200.269;Toneladas equivalentes de petróleo;12;meses
León;2004;2.152.631;Toneladas equivalentes de petróleo;12;meses
Palencia;2004;186.719;Toneladas equivalentes de petróleo;12;meses
León;2005;2.023.527;Toneladas equivalentes de petróleo;12;meses
Palencia;2005;213.807;Toneladas equivalentes de petróleo;12;meses
León;2006;2.019.091;Toneladas equivalentes de petróleo;12;meses
Palencia;2006;219.936;Toneladas equivalentes de petróleo;12;meses
León;2007;1.886.220;Toneladas equivalentes de petróleo;12;meses
Palencia;2007;196.750;Toneladas equivalentes de petróleo;12;meses
León;2008;1.677.471;Toneladas equivalentes de petróleo;12;meses
Palencia;2008;52.893;Toneladas equivalentes de petróleo;12;meses
León;2009;1.392.165;Toneladas equivalentes de petróleo;12;meses
Palencia;2009;118.105;Toneladas equivalentes de petróleo;12;meses
León;2010;1.080.298;Toneladas equivalentes de petróleo;12;meses
Palencia;2010;88.997;Toneladas equivalentes de petróleo;12;meses
León;2011;814.387;Toneladas equivalentes de petróleo;12;meses
Palencia;2011;71.115;Toneladas equivalentes de petróleo;12;meses
León;2012;734.358;Toneladas equivalentes de petróleo;12;meses
Palencia;2012;15.793;Toneladas equivalentes de petróleo;12;meses
León;2013;452.924;Toneladas equivalentes de petróleo;12;meses
Palencia;2013;30.108;Toneladas equivalentes de petróleo;12;meses
León;2014;479.538;Toneladas equivalentes de petróleo;12;meses
Palencia;2014;18.761;Toneladas equivalentes de petróleo;12;meses
