Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
Ávila;2000;8.587;Toneladas equivalentes de petróleo;12;meses
Burgos;2000;11.140;Toneladas equivalentes de petróleo;12;meses
León;2000;0;Toneladas equivalentes de petróleo;12;meses
Palencia;2000;0;Toneladas equivalentes de petróleo;12;meses
Salamanca;2000;0;Toneladas equivalentes de petróleo;12;meses
Segovia;2000;396;Toneladas equivalentes de petróleo;12;meses
Soria;2000;20.485;Toneladas equivalentes de petróleo;12;meses
Valladolid;2000;0;Toneladas equivalentes de petróleo;12;meses
Zamora;2000;0;Toneladas equivalentes de petróleo;12;meses
Ávila;2001;10.281;Toneladas equivalentes de petróleo;12;meses
Burgos;2001;13.117;Toneladas equivalentes de petróleo;12;meses
León;2001;0;Toneladas equivalentes de petróleo;12;meses
Palencia;2001;2.543;Toneladas equivalentes de petróleo;12;meses
Salamanca;2001;0;Toneladas equivalentes de petróleo;12;meses
Segovia;2001;2.821;Toneladas equivalentes de petróleo;12;meses
Soria;2001;23.497;Toneladas equivalentes de petróleo;12;meses
Valladolid;2001;0;Toneladas equivalentes de petróleo;12;meses
Zamora;2001;3.173;Toneladas equivalentes de petróleo;12;meses
Ávila;2002;18.740;Toneladas equivalentes de petróleo;12;meses
Burgos;2002;24.949;Toneladas equivalentes de petróleo;12;meses
León;2002;0;Toneladas equivalentes de petróleo;12;meses
Palencia;2002;4.562;Toneladas equivalentes de petróleo;12;meses
Salamanca;2002;0;Toneladas equivalentes de petróleo;12;meses
Segovia;2002;3.120;Toneladas equivalentes de petróleo;12;meses
Soria;2002;34.537;Toneladas equivalentes de petróleo;12;meses
Valladolid;2002;0;Toneladas equivalentes de petróleo;12;meses
Zamora;2002;24.132;Toneladas equivalentes de petróleo;12;meses
Ávila;2003;20.399;Toneladas equivalentes de petróleo;12;meses
Burgos;2003;32.543;Toneladas equivalentes de petróleo;12;meses
León;2003;5.229;Toneladas equivalentes de petróleo;12;meses
Palencia;2003;13.518;Toneladas equivalentes de petróleo;12;meses
Salamanca;2003;0;Toneladas equivalentes de petróleo;12;meses
Segovia;2003;3.120;Toneladas equivalentes de petróleo;12;meses
