Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
Ávila;2000;16.252;Toneladas equivalentes de petróleo;12;meses
Burgos;2000;1.089.546;Toneladas equivalentes de petróleo;12;meses
León;2000;2.752.214;Toneladas equivalentes de petróleo;12;meses
Palencia;2000;265.079;Toneladas equivalentes de petróleo;12;meses
Salamanca;2000;362.551;Toneladas equivalentes de petróleo;12;meses
Segovia;2000;1.020;Toneladas equivalentes de petróleo;12;meses
Soria;2000;27.332;Toneladas equivalentes de petróleo;12;meses
Valladolid;2000;16.951;Toneladas equivalentes de petróleo;12;meses
Zamora;2000;170.716;Toneladas equivalentes de petróleo;12;meses
Ávila;2001;23.508;Toneladas equivalentes de petróleo;12;meses
Burgos;2001;973.797;Toneladas equivalentes de petróleo;12;meses
León;2001;2.471.754;Toneladas equivalentes de petróleo;12;meses
Palencia;2001;267.147;Toneladas equivalentes de petróleo;12;meses
Salamanca;2001;685.671;Toneladas equivalentes de petróleo;12;meses
Segovia;2001;3.716;Toneladas equivalentes de petróleo;12;meses
Soria;2001;31.907;Toneladas equivalentes de petróleo;12;meses
Valladolid;2001;5.553;Toneladas equivalentes de petróleo;12;meses
Zamora;2001;251.761;Toneladas equivalentes de petróleo;12;meses
Ávila;2002;27.503;Toneladas equivalentes de petróleo;12;meses
Burgos;2002;1.097.405;Toneladas equivalentes de petróleo;12;meses
León;2002;2.243.450;Toneladas equivalentes de petróleo;12;meses
Palencia;2002;231.453;Toneladas equivalentes de petróleo;12;meses
Salamanca;2002;307.606;Toneladas equivalentes de petróleo;12;meses
Segovia;2002;10.026;Toneladas equivalentes de petróleo;12;meses
Soria;2002;34.675;Toneladas equivalentes de petróleo;12;meses
Valladolid;2002;4.096;Toneladas equivalentes de petróleo;12;meses
Zamora;2002;125.081;Toneladas equivalentes de petróleo;12;meses
Ávila;2003;40.058;Toneladas equivalentes de petróleo;12;meses
Burgos;2003;1.042.333;Toneladas equivalentes de petróleo;12;meses
León;2003;2.272.586;Toneladas equivalentes de petróleo;12;meses
Palencia;2003;235.767;Toneladas equivalentes de petróleo;12;meses
Salamanca;2003;639.855;Toneladas equivalentes de petróleo;12;meses
Segovia;2003;14.849;Toneladas equivalentes de petróleo;12;meses
Soria;2003;42.153;Toneladas equivalentes de petróleo;12;meses
Valladolid;2003;7.535;Toneladas equivalentes de petróleo;12;meses
Zamora;2003;313.018;Toneladas equivalentes de petróleo;12;meses
Ávila;2004;39.746;Toneladas equivalentes de petróleo;12;meses
Burgos;2004;1.152.352;Toneladas equivalentes de petróleo;12;meses
León;2004;2.216.407;Toneladas equivalentes de petróleo;12;meses
Palencia;2004;228.276;Toneladas equivalentes de petróleo;12;meses
Salamanca;2004;451.798;Toneladas equivalentes de petróleo;12;meses
Segovia;2004;4.081;Toneladas equivalentes de petróleo;12;meses
Soria;2004;63.032;Toneladas equivalentes de petróleo;12;meses
Valladolid;2004;6.629;Toneladas equivalentes de petróleo;12;meses
Zamora;2004;216.953;Toneladas equivalentes de petróleo;12;meses
Ávila;2005;42.140;Toneladas equivalentes de petróleo;12;meses
Burgos;2005;1.093.517;Toneladas equivalentes de petróleo;12;meses
León;2005;2.093.146;Toneladas equivalentes de petróleo;12;meses
Palencia;2005;272.820;Toneladas equivalentes de petróleo;12;meses
Salamanca;2005;202.590;Toneladas equivalentes de petróleo;12;meses
Segovia;2005;11.034;Toneladas equivalentes de petróleo;12;meses
Soria;2005;129.355;Toneladas equivalentes de petróleo;12;meses
Valladolid;2005;3.456;Toneladas equivalentes de petróleo;12;meses
Zamora;2005;150.426;Toneladas equivalentes de petróleo;12;meses
Ávila;2006;47.731;Toneladas equivalentes de petróleo;12;meses
Burgos;2006;1.187.184;Toneladas equivalentes de petróleo;12;meses
León;2006;2.096.763;Toneladas equivalentes de petróleo;12;meses
Palencia;2006;281.908;Toneladas equivalentes de petróleo;12;meses
Salamanca;2006;315.278;Toneladas equivalentes de petróleo;12;meses
Segovia;2006;11.258;Toneladas equivalentes de petróleo;12;meses
Soria;2006;149.211;Toneladas equivalentes de petróleo;12;meses
Valladolid;2006;4.979;Toneladas equivalentes de petróleo;12;meses
Zamora;2006;246.055;Toneladas equivalentes de petróleo;12;meses
Ávila;2007;46.903;Toneladas equivalentes de petróleo;12;meses
Burgos;2007;1.139.808;Toneladas equivalentes de petróleo;12;meses
León;2007;1.971.493;Toneladas equivalentes de petróleo;12;meses
Palencia;2007;270.498;Toneladas equivalentes de petróleo;12;meses
Salamanca;2007;475.457;Toneladas equivalentes de petróleo;12;meses
Segovia;2007;14.539;Toneladas equivalentes de petróleo;12;meses
Soria;2007;167.549;Toneladas equivalentes de petróleo;12;meses
